UUID,FY_Ending,CASSR_CODE,GEOGRAPHY_CODE,REGION_GO_CODE,DataType_KEY,AgeBand_KEY,PrimarySupportReason_KEY,CareType_KEY,SupportSetting_KEY,Purpose_KEY,ActivityProvision_KEY,ItemValue
8610201,2017,619,E06000041,E12000008,1,1,7,2,7,,3,0
8610201,2017,620,E10000012,E12000006,1,1,7,2,7,,3,0
8610201,2017,621,E06000033,E12000006,1,1,7,2,7,,3,0
8610201,2017,622,E06000034,E12000006,1,1,7,2,7,,3,0
8610201,2017,623,E10000003,E12000006,1,1,7,2,7,,3,0
8610201,2017,624,E06000031,E12000006,1,1,7,2,7,,3,0
8610201,2017,625,E06000055,E12000006,1,1,7,2,7,,3,0
8610201,2017,626,E06000056,E12000006,1,1,7,2,7,,3,0
8610201,2017,702,E09000007,E12000007,1,1,7,2,7,,3,0
8610201,2017,703,E09000011,E12000007,1,1,7,2,7,,3,0
8610201,2017,704,E09000012,E12000007,1,1,7,2,7,,3,0
8610201,2017,705,E09000013,E12000007,1,1,7,2,7,,3,0
8610201,2017,706,E09000019,E12000007,1,1,7,2,7,,3,0
8610201,2017,707,E09000020,E12000007,1,1,7,2,7,,3,0
8610201,2017,708,E09000022,E12000007,1,1,7,2,7,,3,0
8610201,2017,709,E09000023,E12000007,1,1,7,2,7,,3,0
8610201,2017,710,E09000028,E12000007,1,1,7,2,7,,3,0
8610201,2017,711,E09000030,E12000007,1,1,7,2,7,,3,0
8610201,2017,712,E09000032,E12000007,1,1,7,2,7,,3,0
8610201,2017,713,E09000033,E12000007,1,1,7,2,7,,3,0
8610201,2017,714,E09000001,E12000007,1,1,7,2,7,,3,0
8610201,2017,716,E09000002,E12000007,1,1,7,2,7,,3,0
8610201,2017,717,E09000003,E12000007,1,1,7,2,7,,3,0
8610201,2017,718,E09000004,E12000007,1,1,7,2,7,,3,0
8610201,2017,719,E09000005,E12000007,1,1,7,2,7,,3,0
8610201,2017,720,E09000006,E12000007,1,1,7,2,7,,3,0
8610201,2017,721,E09000008,E12000007,1,1,7,2,7,,3,0
8610201,2017,722,E09000009,E12000007,1,1,7,2,7,,3,0
8610201,2017,723,E09000010,E12000007,1,1,7,2,7,,3,0
8610201,2017,724,E09000014,E12000007,1,1,7,2,7,,3,0
8610201,2017,725,E09000015,E12000007,1,1,7,2,7,,3,0
8610201,2017,726,E09000016,E12000007,1,1,7,2,7,,3,0
8610201,2017,727,E09000017,E12000007,1,1,7,2,7,,3,0
8610201,2017,728,E09000018,E12000007,1,1,7,2,7,,3,0
8610201,2017,729,E09000021,E12000007,1,1,7,2,7,,3,0
8610201,2017,730,E09000024,E12000007,1,1,7,2,7,,3,0
8610201,2017,731,E09000025,E12000007,1,1,7,2,7,,3,0
8610201,2017,732,E09000026,E12000007,1,1,7,2,7,,3,0
8610201,2017,733,E09000027,E12000007,1,1,7,2,7,,3,0
8610201,2017,734,E09000029,E12000007,1,1,7,2,7,,3,0
8610201,2017,735,E09000031,E12000007,1,1,7,2,7,,3,0
8610201,2017,803,E06000046,E12000008,1,1,7,2,7,,3,0
8610201,2017,805,E10000030,E12000008,1,1,7,2,7,,3,2.142857143
8610201,2017,807,E10000032,E12000008,1,1,7,2,7,,3,0
8610201,2017,809,E10000009,E12000009,1,1,7,2,7,,3,0
8610201,2017,810,E06000028,E12000009,1,1,7,2,7,,3,0
8610201,2017,811,E06000029,E12000009,1,1,7,2,7,,3,0
8610201,2017,812,E10000014,E12000008,1,1,7,2,7,,3,0
8610201,2017,813,E06000044,E12000008,1,1,7,2,7,,3,0
8610201,2017,814,E06000045,E12000008,1,1,7,2,7,,3,0
8610201,2017,815,E10000011,E12000008,1,1,7,2,7,,3,0
8610201,2017,816,E06000043,E12000008,1,1,7,2,7,,3,0
8610201,2017,817,E06000054,E12000009,1,1,7,2,7,,3,0
8610201,2017,819,E06000030,E12000009,1,1,7,2,7,,3,0
8610201,2017,820,E10000016,E12000008,1,1,7,2,7,,3,0
8610201,2017,821,E06000035,E12000008,1,1,7,2,7,,3,0
8610201,2017,902,E06000052,E12000009,1,1,7,2,7,,3,0
8610201,2017,904,E10000013,E12000009,1,1,7,2,7,,3,0
8610201,2017,905,E10000027,E12000009,1,1,7,2,7,,3,0
8610201,2017,908,E06000022,E12000009,1,1,7,2,7,,3,0
8610201,2017,909,E06000023,E12000009,1,1,7,2,7,,3,0
8610201,2017,910,E06000024,E12000009,1,1,7,2,7,,3,0
8610201,2017,911,E06000025,E12000009,1,1,7,2,7,,3,0
8610201,2017,912,E10000008,E12000009,1,1,7,2,7,,3,0
8610201,2017,913,E06000026,E12000009,1,1,7,2,7,,3,0
8610201,2017,914,E06000027,E12000009,1,1,7,2,7,,3,0
8610202,2017,102,E10000006,E12000002,1,1,7,2,7,,2,156
8610202,2017,104,E06000057,E12000001,1,1,7,2,7,,2,0
8610202,2017,106,E08000037,E12000001,1,1,7,2,7,,2,130.36
8610202,2017,107,E08000021,E12000001,1,1,7,2,7,,2,60.71
8610202,2017,108,E08000022,E12000001,1,1,7,2,7,,2,92.14
8610202,2017,109,E08000023,E12000001,1,1,7,2,7,,2,0
8610202,2017,110,E08000024,E12000001,1,1,7,2,7,,2,0
8610202,2017,111,E06000001,E12000001,1,1,7,2,7,,2,0
8610202,2017,112,E06000002,E12000001,1,1,7,2,7,,2,0
8610202,2017,113,E06000003,E12000001,1,1,7,2,7,,2,78.43
8610202,2017,114,E06000004,E12000001,1,1,7,2,7,,2,0
8610202,2017,116,E06000047,E12000001,1,1,7,2,7,,2,0
8610202,2017,117,E06000005,E12000001,1,1,7,2,7,,2,0
8610202,2017,204,E08000016,E12000003,1,1,7,2,7,,2,0
8610202,2017,205,E08000017,E12000003,1,1,7,2,7,,2,184.8571429
8610202,2017,206,E08000018,E12000003,1,1,7,2,7,,2,0
8610202,2017,207,E08000019,E12000003,1,1,7,2,7,,2,156
8610202,2017,209,E08000032,E12000003,1,1,7,2,7,,2,0
8610202,2017,210,E08000033,E12000003,1,1,7,2,7,,2,0
8610202,2017,211,E08000034,E12000003,1,1,7,2,7,,2,152
8610202,2017,212,E08000035,E12000003,1,1,7,2,7,,2,76
8610202,2017,213,E08000036,E12000003,1,1,7,2,7,,2,0
8610202,2017,214,E06000011,E12000003,1,1,7,2,7,,2,0
8610202,2017,215,E06000010,E12000003,1,1,7,2,7,,2,0
8610202,2017,216,E06000012,E12000003,1,1,7,2,7,,2,0
8610202,2017,217,E06000013,E12000003,1,1,7,2,7,,2,0
8610202,2017,218,E10000023,E12000003,1,1,7,2,7,,2,155
8610202,2017,219,E06000014,E12000003,1,1,7,2,7,,2,52
8610202,2017,304,E08000001,E12000002,1,1,7,2,7,,2,52
8610202,2017,305,E08000002,E12000002,1,1,7,2,7,,2,16.43
8610202,2017,306,E08000003,E12000002,1,1,7,2,7,,2,0
8610202,2017,307,E08000004,E12000002,1,1,7,2,7,,2,55
8610202,2017,308,E08000005,E12000002,1,1,7,2,7,,2,52
8610202,2017,309,E08000006,E12000002,1,1,7,2,7,,2,180
8610202,2017,310,E08000007,E12000002,1,1,7,2,7,,2,52
8610202,2017,311,E08000008,E12000002,1,1,7,2,7,,2,0
8610202,2017,312,E08000009,E12000002,1,1,7,2,7,,2,55
8610202,2017,313,E08000010,E12000002,1,1,7,2,7,,2,105.29
8610202,2017,315,E08000011,E12000002,1,1,7,2,7,,2,0
8610202,2017,316,E08000012,E12000002,1,1,7,2,7,,2,107
8610202,2017,317,E08000014,E12000002,1,1,7,2,7,,2,63
8610202,2017,318,E08000013,E12000002,1,1,7,2,7,,2,109
8610202,2017,319,E08000015,E12000002,1,1,7,2,7,,2,0
8610202,2017,321,E06000006,E12000002,1,1,7,2,7,,2,0
8610202,2017,322,E06000007,E12000002,1,1,7,2,7,,2,52
8610202,2017,323,E10000017,E12000002,1,1,7,2,7,,2,188.2857143
8610202,2017,324,E06000008,E12000002,1,1,7,2,7,,2,0
8610202,2017,325,E06000009,E12000002,1,1,7,2,7,,2,0
8610202,2017,326,E06000049,E12000002,1,1,7,2,7,,2,104
8610202,2017,327,E06000050,E12000002,1,1,7,2,7,,2,4
8610202,2017,404,E10000031,E12000005,1,1,7,2,7,,2,241.1428571
8610202,2017,406,E08000025,E12000005,1,1,7,2,7,,2,649
8610202,2017,407,E08000026,E12000005,1,1,7,2,7,,2,350.7578947
8610202,2017,408,E08000027,E12000005,1,1,7,2,7,,2,0
8610202,2017,409,E08000028,E12000005,1,1,7,2,7,,2,52
8610202,2017,410,E08000029,E12000005,1,1,7,2,7,,2,122.714
8610202,2017,411,E08000030,E12000005,1,1,7,2,7,,2,0
8610202,2017,412,E08000031,E12000005,1,1,7,2,7,,2,140.71
8610202,2017,413,E10000028,E12000005,1,1,7,2,7,,2,156.43
8610202,2017,415,E06000019,E12000005,1,1,7,2,7,,2,60
8610202,2017,416,E10000034,E12000005,1,1,7,2,7,,2,52.14285714
8610202,2017,417,E06000051,E12000005,1,1,7,2,7,,2,0
8610202,2017,418,E06000020,E12000005,1,1,7,2,7,,2,52.14
8610202,2017,503,E10000019,E12000004,1,1,7,2,7,,2,27
8610202,2017,504,E10000021,E12000004,1,1,7,2,7,,2,177
8610202,2017,506,E10000007,E12000004,1,1,7,2,7,,2,268.14
8610202,2017,507,E06000015,E12000004,1,1,7,2,7,,2,244.14
8610202,2017,508,E10000018,E12000004,1,1,7,2,7,,2,0
8610202,2017,509,E06000016,E12000004,1,1,7,2,7,,2,0
8610202,2017,510,E06000017,E12000004,1,1,7,2,7,,2,0
8610202,2017,511,E10000024,E12000004,1,1,7,2,7,,2,208.5714286
8610202,2017,512,E06000018,E12000004,1,1,7,2,7,,2,231
8610202,2017,606,E10000015,E12000006,1,1,7,2,7,,2,52
8610202,2017,607,E10000020,E12000006,1,1,7,2,7,,2,705.1428571
8610202,2017,608,E10000025,E12000008,1,1,7,2,7,,2,24.85714286
8610202,2017,609,E10000029,E12000006,1,1,7,2,7,,2,231
8610202,2017,611,E06000032,E12000006,1,1,7,2,7,,2,0
8610202,2017,612,E10000002,E12000008,1,1,7,2,7,,2,52.14
8610202,2017,613,E06000042,E12000008,1,1,7,2,7,,2,52.14
8610202,2017,614,E06000036,E12000008,1,1,7,2,7,,2,38.71
8610202,2017,615,E06000037,E12000008,1,1,7,2,7,,2,2.71
8610202,2017,616,E06000038,E12000008,1,1,7,2,7,,2,0
8610202,2017,617,E06000039,E12000008,1,1,7,2,7,,2,0
8610202,2017,618,E06000040,E12000008,1,1,7,2,7,,2,0
8610202,2017,619,E06000041,E12000008,1,1,7,2,7,,2,90.48
8610202,2017,620,E10000012,E12000006,1,1,7,2,7,,2,636.2857143
8610202,2017,621,E06000033,E12000006,1,1,7,2,7,,2,0
8610202,2017,622,E06000034,E12000006,1,1,7,2,7,,2,156
8610202,2017,623,E10000003,E12000006,1,1,7,2,7,,2,156.4
8610202,2017,624,E06000031,E12000006,1,1,7,2,7,,2,0
8610202,2017,625,E06000055,E12000006,1,1,7,2,7,,2,0
8610202,2017,626,E06000056,E12000006,1,1,7,2,7,,2,52.14
8610202,2017,702,E09000007,E12000007,1,1,7,2,7,,2,52.14
8610202,2017,703,E09000011,E12000007,1,1,7,2,7,,2,98
8610202,2017,704,E09000012,E12000007,1,1,7,2,7,,2,44
8610202,2017,705,E09000013,E12000007,1,1,7,2,7,,2,0
8610202,2017,706,E09000019,E12000007,1,1,7,2,7,,2,0
8610202,2017,707,E09000020,E12000007,1,1,7,2,7,,2,0
8610202,2017,708,E09000022,E12000007,1,1,7,2,7,,2,123
8610202,2017,709,E09000023,E12000007,1,1,7,2,7,,2,0
8610202,2017,710,E09000028,E12000007,1,1,7,2,7,,2,0
8610202,2017,711,E09000030,E12000007,1,1,7,2,7,,2,52
8610202,2017,712,E09000032,E12000007,1,1,7,2,7,,2,283
8610202,2017,713,E09000033,E12000007,1,1,7,2,7,,2,0
8610202,2017,714,E09000001,E12000007,1,1,7,2,7,,2,0
8610202,2017,716,E09000002,E12000007,1,1,7,2,7,,2,104
8610202,2017,717,E09000003,E12000007,1,1,7,2,7,,2,115.7142857
8610202,2017,718,E09000004,E12000007,1,1,7,2,7,,2,0
8610202,2017,719,E09000005,E12000007,1,1,7,2,7,,2,0
8610202,2017,720,E09000006,E12000007,1,1,7,2,7,,2,104
8610202,2017,721,E09000008,E12000007,1,1,7,2,7,,2,0
8610202,2017,722,E09000009,E12000007,1,1,7,2,7,,2,52
8610202,2017,723,E09000010,E12000007,1,1,7,2,7,,2,960.01
8610202,2017,724,E09000014,E12000007,1,1,7,2,7,,2,299.2857143
8610202,2017,725,E09000015,E12000007,1,1,7,2,7,,2,52
8610202,2017,726,E09000016,E12000007,1,1,7,2,7,,2,52
8610202,2017,727,E09000017,E12000007,1,1,7,2,7,,2,0
8610202,2017,728,E09000018,E12000007,1,1,7,2,7,,2,156.43
8610202,2017,729,E09000021,E12000007,1,1,7,2,7,,2,52
8610202,2017,730,E09000024,E12000007,1,1,7,2,7,,2,52
8610202,2017,731,E09000025,E12000007,1,1,7,2,7,,2,104.7142857
8610202,2017,732,E09000026,E12000007,1,1,7,2,7,,2,60
8610202,2017,733,E09000027,E12000007,1,1,7,2,7,,2,52.13
8610202,2017,734,E09000029,E12000007,1,1,7,2,7,,2,0
8610202,2017,735,E09000031,E12000007,1,1,7,2,7,,2,0
8610202,2017,803,E06000046,E12000008,1,1,7,2,7,,2,0
8610202,2017,805,E10000030,E12000008,1,1,7,2,7,,2,428.9147692
8610202,2017,807,E10000032,E12000008,1,1,7,2,7,,2,156.9
8610202,2017,809,E10000009,E12000009,1,1,7,2,7,,2,16
8610202,2017,810,E06000028,E12000009,1,1,7,2,7,,2,0
8610202,2017,811,E06000029,E12000009,1,1,7,2,7,,2,0
8610202,2017,812,E10000014,E12000008,1,1,7,2,7,,2,104
8610202,2017,813,E06000044,E12000008,1,1,7,2,7,,2,0
8610202,2017,814,E06000045,E12000008,1,1,7,2,7,,2,0
8610202,2017,815,E10000011,E12000008,1,1,7,2,7,,2,287.99
8610202,2017,816,E06000043,E12000008,1,1,7,2,7,,2,104.29
8610202,2017,817,E06000054,E12000009,1,1,7,2,7,,2,208
8610202,2017,819,E06000030,E12000009,1,1,7,2,7,,2,0
8610202,2017,820,E10000016,E12000008,1,1,7,2,7,,2,232
8610202,2017,821,E06000035,E12000008,1,1,7,2,7,,2,0
8610202,2017,902,E06000052,E12000009,1,1,7,2,7,,2,183
8610202,2017,904,E10000013,E12000009,1,1,7,2,7,,2,0
8610202,2017,905,E10000027,E12000009,1,1,7,2,7,,2,52
8610202,2017,908,E06000022,E12000009,1,1,7,2,7,,2,104
8610202,2017,909,E06000023,E12000009,1,1,7,2,7,,2,263.5714286
8610202,2017,910,E06000024,E12000009,1,1,7,2,7,,2,0
8610202,2017,911,E06000025,E12000009,1,1,7,2,7,,2,52
8610202,2017,912,E10000008,E12000009,1,1,7,2,7,,2,156.4
8610202,2017,913,E06000026,E12000009,1,1,7,2,7,,2,52.14
8610202,2017,914,E06000027,E12000009,1,1,7,2,7,,2,0.28
8610301,2017,102,E10000006,E12000002,1,1,13,2,7,,3,0
8610301,2017,104,E06000057,E12000001,1,1,13,2,7,,3,0
8610301,2017,106,E08000037,E12000001,1,1,13,2,7,,3,0
8610301,2017,107,E08000021,E12000001,1,1,13,2,7,,3,0
8610301,2017,108,E08000022,E12000001,1,1,13,2,7,,3,0
8610301,2017,109,E08000023,E12000001,1,1,13,2,7,,3,0
8610301,2017,110,E08000024,E12000001,1,1,13,2,7,,3,0
8610301,2017,111,E06000001,E12000001,1,1,13,2,7,,3,0
8610301,2017,112,E06000002,E12000001,1,1,13,2,7,,3,0
8610301,2017,113,E06000003,E12000001,1,1,13,2,7,,3,0
8610301,2017,114,E06000004,E12000001,1,1,13,2,7,,3,0
8610301,2017,116,E06000047,E12000001,1,1,13,2,7,,3,0
8610301,2017,117,E06000005,E12000001,1,1,13,2,7,,3,0
8610301,2017,204,E08000016,E12000003,1,1,13,2,7,,3,0
8610301,2017,205,E08000017,E12000003,1,1,13,2,7,,3,0
8610301,2017,206,E08000018,E12000003,1,1,13,2,7,,3,0
8610301,2017,207,E08000019,E12000003,1,1,13,2,7,,3,0
8610301,2017,209,E08000032,E12000003,1,1,13,2,7,,3,0
8610301,2017,210,E08000033,E12000003,1,1,13,2,7,,3,0
8610301,2017,211,E08000034,E12000003,1,1,13,2,7,,3,0
8610301,2017,212,E08000035,E12000003,1,1,13,2,7,,3,0
8610301,2017,213,E08000036,E12000003,1,1,13,2,7,,3,0
8610301,2017,214,E06000011,E12000003,1,1,13,2,7,,3,32.86
8610301,2017,215,E06000010,E12000003,1,1,13,2,7,,3,0
8610301,2017,216,E06000012,E12000003,1,1,13,2,7,,3,0
8610301,2017,217,E06000013,E12000003,1,1,13,2,7,,3,0
8610301,2017,218,E10000023,E12000003,1,1,13,2,7,,3,0
8610301,2017,219,E06000014,E12000003,1,1,13,2,7,,3,0
8610301,2017,304,E08000001,E12000002,1,1,13,2,7,,3,0
8610301,2017,305,E08000002,E12000002,1,1,13,2,7,,3,0
8610301,2017,306,E08000003,E12000002,1,1,13,2,7,,3,0
8610301,2017,307,E08000004,E12000002,1,1,13,2,7,,3,0
8610301,2017,308,E08000005,E12000002,1,1,13,2,7,,3,0
8610301,2017,309,E08000006,E12000002,1,1,13,2,7,,3,0
8610301,2017,310,E08000007,E12000002,1,1,13,2,7,,3,0
8610301,2017,311,E08000008,E12000002,1,1,13,2,7,,3,0
8610301,2017,312,E08000009,E12000002,1,1,13,2,7,,3,0
8610301,2017,313,E08000010,E12000002,1,1,13,2,7,,3,0
8610301,2017,315,E08000011,E12000002,1,1,13,2,7,,3,0
8610301,2017,316,E08000012,E12000002,1,1,13,2,7,,3,0
8610301,2017,317,E08000014,E12000002,1,1,13,2,7,,3,0
8610301,2017,318,E08000013,E12000002,1,1,13,2,7,,3,0
8610301,2017,319,E08000015,E12000002,1,1,13,2,7,,3,0
8610301,2017,321,E06000006,E12000002,1,1,13,2,7,,3,0
8610301,2017,322,E06000007,E12000002,1,1,13,2,7,,3,0
8610301,2017,323,E10000017,E12000002,1,1,13,2,7,,3,0
8610301,2017,324,E06000008,E12000002,1,1,13,2,7,,3,0
8610301,2017,325,E06000009,E12000002,1,1,13,2,7,,3,0
8610301,2017,326,E06000049,E12000002,1,1,13,2,7,,3,0
8610301,2017,327,E06000050,E12000002,1,1,13,2,7,,3,0
8610301,2017,404,E10000031,E12000005,1,1,13,2,7,,3,0
8610301,2017,406,E08000025,E12000005,1,1,13,2,7,,3,0
8610301,2017,407,E08000026,E12000005,1,1,13,2,7,,3,0
8610301,2017,408,E08000027,E12000005,1,1,13,2,7,,3,0
8610301,2017,409,E08000028,E12000005,1,1,13,2,7,,3,43
8610301,2017,410,E08000029,E12000005,1,1,13,2,7,,3,0
8610301,2017,411,E08000030,E12000005,1,1,13,2,7,,3,0
8610301,2017,412,E08000031,E12000005,1,1,13,2,7,,3,0
8610301,2017,413,E10000028,E12000005,1,1,13,2,7,,3,5.43
8610301,2017,415,E06000019,E12000005,1,1,13,2,7,,3,0
8610301,2017,416,E10000034,E12000005,1,1,13,2,7,,3,0
8610301,2017,417,E06000051,E12000005,1,1,13,2,7,,3,0
8610301,2017,418,E06000020,E12000005,1,1,13,2,7,,3,0
8610301,2017,503,E10000019,E12000004,1,1,13,2,7,,3,0
8610301,2017,504,E10000021,E12000004,1,1,13,2,7,,3,0
8610301,2017,506,E10000007,E12000004,1,1,13,2,7,,3,57.86
8610301,2017,507,E06000015,E12000004,1,1,13,2,7,,3,0
8610301,2017,508,E10000018,E12000004,1,1,13,2,7,,3,0
8610301,2017,509,E06000016,E12000004,1,1,13,2,7,,3,0
8610301,2017,510,E06000017,E12000004,1,1,13,2,7,,3,0
8610301,2017,511,E10000024,E12000004,1,1,13,2,7,,3,0
8610301,2017,512,E06000018,E12000004,1,1,13,2,7,,3,0
8610301,2017,606,E10000015,E12000006,1,1,13,2,7,,3,0
8610301,2017,607,E10000020,E12000006,1,1,13,2,7,,3,0
8610301,2017,608,E10000025,E12000008,1,1,13,2,7,,3,0
8610301,2017,609,E10000029,E12000006,1,1,13,2,7,,3,0
8610301,2017,611,E06000032,E12000006,1,1,13,2,7,,3,0
8610301,2017,612,E10000002,E12000008,1,1,13,2,7,,3,0
8610301,2017,613,E06000042,E12000008,1,1,13,2,7,,3,0
8610301,2017,614,E06000036,E12000008,1,1,13,2,7,,3,0
8610301,2017,615,E06000037,E12000008,1,1,13,2,7,,3,33.54
8610301,2017,616,E06000038,E12000008,1,1,13,2,7,,3,0
8610301,2017,617,E06000039,E12000008,1,1,13,2,7,,3,0
8610301,2017,618,E06000040,E12000008,1,1,13,2,7,,3,0
8610301,2017,619,E06000041,E12000008,1,1,13,2,7,,3,0
8610301,2017,620,E10000012,E12000006,1,1,13,2,7,,3,0
8610301,2017,621,E06000033,E12000006,1,1,13,2,7,,3,0
8610301,2017,622,E06000034,E12000006,1,1,13,2,7,,3,0
8610301,2017,623,E10000003,E12000006,1,1,13,2,7,,3,0
8610301,2017,624,E06000031,E12000006,1,1,13,2,7,,3,0
8610301,2017,625,E06000055,E12000006,1,1,13,2,7,,3,0
8610301,2017,626,E06000056,E12000006,1,1,13,2,7,,3,0
8610301,2017,702,E09000007,E12000007,1,1,13,2,7,,3,0
8610301,2017,703,E09000011,E12000007,1,1,13,2,7,,3,0
8610301,2017,704,E09000012,E12000007,1,1,13,2,7,,3,0
8610301,2017,705,E09000013,E12000007,1,1,13,2,7,,3,0
8610301,2017,706,E09000019,E12000007,1,1,13,2,7,,3,0
8610301,2017,707,E09000020,E12000007,1,1,13,2,7,,3,0
8610301,2017,708,E09000022,E12000007,1,1,13,2,7,,3,0
8610301,2017,709,E09000023,E12000007,1,1,13,2,7,,3,0
8610301,2017,710,E09000028,E12000007,1,1,13,2,7,,3,0
8610301,2017,711,E09000030,E12000007,1,1,13,2,7,,3,0
8610301,2017,712,E09000032,E12000007,1,1,13,2,7,,3,0
8610301,2017,713,E09000033,E12000007,1,1,13,2,7,,3,0
8610301,2017,714,E09000001,E12000007,1,1,13,2,7,,3,0
8610301,2017,716,E09000002,E12000007,1,1,13,2,7,,3,0
8610301,2017,717,E09000003,E12000007,1,1,13,2,7,,3,0
8610301,2017,718,E09000004,E12000007,1,1,13,2,7,,3,0
8610301,2017,719,E09000005,E12000007,1,1,13,2,7,,3,0
8610301,2017,720,E09000006,E12000007,1,1,13,2,7,,3,0
8610301,2017,721,E09000008,E12000007,1,1,13,2,7,,3,0
8610301,2017,722,E09000009,E12000007,1,1,13,2,7,,3,0
8610301,2017,723,E09000010,E12000007,1,1,13,2,7,,3,0
8610301,2017,724,E09000014,E12000007,1,1,13,2,7,,3,0
8610301,2017,725,E09000015,E12000007,1,1,13,2,7,,3,0
8610301,2017,726,E09000016,E12000007,1,1,13,2,7,,3,0
8610301,2017,727,E09000017,E12000007,1,1,13,2,7,,3,0
8610301,2017,728,E09000018,E12000007,1,1,13,2,7,,3,0
8610301,2017,729,E09000021,E12000007,1,1,13,2,7,,3,0
8610301,2017,730,E09000024,E12000007,1,1,13,2,7,,3,0
8610301,2017,731,E09000025,E12000007,1,1,13,2,7,,3,0
8610301,2017,732,E09000026,E12000007,1,1,13,2,7,,3,0
8610301,2017,733,E09000027,E12000007,1,1,13,2,7,,3,0
8610301,2017,734,E09000029,E12000007,1,1,13,2,7,,3,0
8610301,2017,735,E09000031,E12000007,1,1,13,2,7,,3,0
8610301,2017,803,E06000046,E12000008,1,1,13,2,7,,3,0
8610301,2017,805,E10000030,E12000008,1,1,13,2,7,,3,0
8610301,2017,807,E10000032,E12000008,1,1,13,2,7,,3,0
8610301,2017,809,E10000009,E12000009,1,1,13,2,7,,3,0
8610301,2017,810,E06000028,E12000009,1,1,13,2,7,,3,0
8610301,2017,811,E06000029,E12000009,1,1,13,2,7,,3,0
8610301,2017,812,E10000014,E12000008,1,1,13,2,7,,3,0
8610301,2017,813,E06000044,E12000008,1,1,13,2,7,,3,0
8610301,2017,814,E06000045,E12000008,1,1,13,2,7,,3,0
8610301,2017,815,E10000011,E12000008,1,1,13,2,7,,3,0
8610301,2017,816,E06000043,E12000008,1,1,13,2,7,,3,356.43
8610301,2017,817,E06000054,E12000009,1,1,13,2,7,,3,0
8610301,2017,819,E06000030,E12000009,1,1,13,2,7,,3,0
8610301,2017,820,E10000016,E12000008,1,1,13,2,7,,3,0
8610301,2017,821,E06000035,E12000008,1,1,13,2,7,,3,0
8610301,2017,902,E06000052,E12000009,1,1,13,2,7,,3,0
8610301,2017,904,E10000013,E12000009,1,1,13,2,7,,3,0
8610301,2017,905,E10000027,E12000009,1,1,13,2,7,,3,0
8610301,2017,908,E06000022,E12000009,1,1,13,2,7,,3,0
8610301,2017,909,E06000023,E12000009,1,1,13,2,7,,3,0
8610301,2017,910,E06000024,E12000009,1,1,13,2,7,,3,0
8610301,2017,911,E06000025,E12000009,1,1,13,2,7,,3,0
8610301,2017,912,E10000008,E12000009,1,1,13,2,7,,3,0
8610301,2017,913,E06000026,E12000009,1,1,13,2,7,,3,0
8610301,2017,914,E06000027,E12000009,1,1,13,2,7,,3,0
8610302,2017,102,E10000006,E12000002,1,1,13,2,7,,2,319.43
8610302,2017,104,E06000057,E12000001,1,1,13,2,7,,2,359
8610302,2017,106,E08000037,E12000001,1,1,13,2,7,,2,163.79
8610302,2017,107,E08000021,E12000001,1,1,13,2,7,,2,392.82
8610302,2017,108,E08000022,E12000001,1,1,13,2,7,,2,104
8610302,2017,109,E08000023,E12000001,1,1,13,2,7,,2,0
8610302,2017,110,E08000024,E12000001,1,1,13,2,7,,2,136.86
8610302,2017,111,E06000001,E12000001,1,1,13,2,7,,2,0
8610302,2017,112,E06000002,E12000001,1,1,13,2,7,,2,47
8610302,2017,113,E06000003,E12000001,1,1,13,2,7,,2,103.71
8610302,2017,114,E06000004,E12000001,1,1,13,2,7,,2,249.98
8610302,2017,116,E06000047,E12000001,1,1,13,2,7,,2,529.56
8610302,2017,117,E06000005,E12000001,1,1,13,2,7,,2,154
8610302,2017,204,E08000016,E12000003,1,1,13,2,7,,2,68.37
8610302,2017,205,E08000017,E12000003,1,1,13,2,7,,2,236.2857143
8610302,2017,206,E08000018,E12000003,1,1,13,2,7,,2,0
8610302,2017,207,E08000019,E12000003,1,1,13,2,7,,2,114
8610302,2017,209,E08000032,E12000003,1,1,13,2,7,,2,0
8610302,2017,210,E08000033,E12000003,1,1,13,2,7,,2,62
8610302,2017,211,E08000034,E12000003,1,1,13,2,7,,2,205
8610302,2017,212,E08000035,E12000003,1,1,13,2,7,,2,371
8610302,2017,213,E08000036,E12000003,1,1,13,2,7,,2,75.43
8610302,2017,214,E06000011,E12000003,1,1,13,2,7,,2,513
8610302,2017,215,E06000010,E12000003,1,1,13,2,7,,2,281.28
8610302,2017,216,E06000012,E12000003,1,1,13,2,7,,2,0
8610302,2017,217,E06000013,E12000003,1,1,13,2,7,,2,104.29
8610302,2017,218,E10000023,E12000003,1,1,13,2,7,,2,275
8610302,2017,219,E06000014,E12000003,1,1,13,2,7,,2,171
8610302,2017,304,E08000001,E12000002,1,1,13,2,7,,2,156
8610302,2017,305,E08000002,E12000002,1,1,13,2,7,,2,200.43
8610302,2017,306,E08000003,E12000002,1,1,13,2,7,,2,52
8610302,2017,307,E08000004,E12000002,1,1,13,2,7,,2,0
8610302,2017,308,E08000005,E12000002,1,1,13,2,7,,2,322.9
8610302,2017,309,E08000006,E12000002,1,1,13,2,7,,2,427
8610302,2017,310,E08000007,E12000002,1,1,13,2,7,,2,176
8610302,2017,311,E08000008,E12000002,1,1,13,2,7,,2,0
8610302,2017,312,E08000009,E12000002,1,1,13,2,7,,2,12
